PAT_City,year,quarter,total_patients,population,patients_per_100k
Arlington,2022,2022Q3,11,394747,2.78659495828974
Arlington,2022,2022Q4,187,394747,47.37211429092558
Arlington,2023,2023Q1,77,398431,19.32580547196378
Arlington,2023,2023Q2,19,398431,4.768705246328724
Arlington,2023,2023Q3,30,398431,7.529534599466407
Arlington,2023,2023Q4,107,398431,26.855340071430184
Arlington,2024,2024Q1,209,399825,52.2728693803539
Arlington,2024,2024Q2,33,399825,8.253610954792721
Austin,2022,2022Q3,45,975418,4.613406765099681
Austin,2022,2022Q4,371,975418,38.03497577448848
Austin,2023,2023Q1,126,979882,12.858691148526049
Austin,2023,2023Q2,44,979882,4.490336591548778
Austin,2023,2023Q3,65,979882,6.633451782969786
Austin,2023,2023Q4,196,979882,20.002408453262742
Austin,2024,2024Q1,381,984567,38.697214105286896
Austin,2024,2024Q2,62,984567,6.297184447579495
Corpus Christi,2022,2022Q3,21,316147,6.642479606006067
Corpus Christi,2022,2022Q4,204,316147,64.52694474405894
Corpus Christi,2023,2023Q1,92,316595,29.059208136578278
Corpus Christi,2023,2023Q2,51,316595,16.108908858320564
Corpus Christi,2023,2023Q3,64,316595,20.21510131240228
Corpus Christi,2023,2023Q4,157,316595,49.59017040698685
Corpus Christi,2024,2024Q1,214,316105,67.69902405846159
Corpus Christi,2024,2024Q2,55,316105,17.399281884184052
Dallas,2022,2022Q3,46,1297358,3.545667425645042
Dallas,2022,2022Q4,772,1297358,59.505548969521136
Dallas,2023,2023Q1,247,1302868,18.95817534853876
Dallas,2023,2023Q2,86,1302868,6.600822186130905
Dallas,2023,2023Q3,62,1302868,4.75873227372228
Dallas,2023,2023Q4,325,1302868,24.94496756386679
Dallas,2024,2024Q1,786,1302753,60.33377010070213
Dallas,2024,2024Q2,120,1302753,9.211262610794218
El Paso,2022,2022Q3,59,677788,8.704786747478563
El Paso,2022,2022Q4,378,677788,55.76965068723554
El Paso,2023,2023Q1,161,678958,23.7128069777512
El Paso,2023,2023Q2,111,678958,16.34858120826325
El Paso,2023,2023Q3,56,678958,8.247932861826506
El Paso,2023,2023Q4,312,678958,45.95276880160481
El Paso,2024,2024Q1,395,678859,58.185867757516654
El Paso,2024,2024Q2,91,678859,13.404845483377256
Fort Worth,2022,2022Q3,37,957103,3.8658326219853034
Fort Worth,2022,2022Q4,674,957103,70.42084289778634
Fort Worth,2023,2023Q1,206,978468,21.053320088137784
Fort Worth,2023,2023Q2,52,978468,5.314430313510508
Fort Worth,2023,2023Q3,59,978468,6.029834394175385
Fort Worth,2023,2023Q4,209,978468,21.35992183699416
Fort Worth,2024,2024Q1,622,996756,62.40243349425537
Fort Worth,2024,2024Q2,79,996756,7.925711006505103
Houston,2022,2022Q3,100,2302488,4.3431279554985736
Houston,2022,2022Q4,1209,2302488,52.50841698197776
Houston,2023,2023Q1,244,2314157,10.543796293855603
Houston,2023,2023Q2,99,2314157,4.278015709392232
Houston,2023,2023Q3,105,2314157,4.537289388749337
Houston,2023,2023Q4,888,2314157,38.37250454485154
Houston,2024,2024Q1,962,2319119,41.48126939583523
Houston,2024,2024Q2,183,2319119,7.890927546193188
San Antonio,2022,2022Q3,63,1473325,4.276042285307043
San Antonio,2022,2022Q4,818,1473325,55.5206760219232
San Antonio,2023,2023Q1,236,1495295,15.782838837821298
San Antonio,2023,2023Q2,83,1495295,5.550744167538848
San Antonio,2023,2023Q3,53,1495295,3.544451094934444
San Antonio,2023,2023Q4,345,1495295,23.072370334950627
San Antonio,2024,2024Q1,967,1513974,63.871638482563114
San Antonio,2024,2024Q2,116,1513974,7.661954564609431
